,NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,NUM_BO,ANO_BO,DATA_REGISTRO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESC_PERIODO,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRCUNSCRICAO,NOME_DEPARTAMENTO_CIRCUNSCRICAO,NOME_SECCIONAL_CIRCUNSCRICAO,NOME_MUNICIPIO_CIRCUNSCRICAO,RUBRICA,DESCR_CONDUTA,NATUREZA_APURADA,MES_ESTATISTICA,ANO_ESTATISTICA,CMD,BTL,CIA
178454,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,BY1717,2025,2025-02-07,2025-02-07,02:14:00,,Via Pública,Via Pública,MARIO DEDINI,RUA DOS PINHEIROS,1.0,-22.6679358829999,-47.6611471699999,04º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178455,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CE6368,2025,2025-02-12,2025-02-11,19:00:00,,Via Pública,Via Pública,MARIO DEDINI,RUA DAS SAPUCÁIAS,100.0,-22.6716438519999,-47.6601285319999,04º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178456,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CK7607,2025,2025-02-16,2025-02-15,18:40:39,,Via Pública,Via Pública,MARIO DEDINI,RUA PAU BRASIL,300.0,-22.6689609229999,-47.658173499,04º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178457,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CL2144,2025,2025-02-17,2025-02-16,19:20:00,,Estabelecimento Prisional,Cadeia/CDP/Presídio,AREIÃO,SP-147,1.0,-22.6974453,-47.6132274,04º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178458,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CS3033,2025,2025-02-21,2025-02-20,18:00:00,,Via Pública,Via Pública,VILA INDUSTRIAL,RUA ANTONIO FRANCO DE LIMA,1700.0,-22.677128,-47.6638582,04º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178459,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CS3889,2025,2025-02-21,2025-02-20,20:22:13,,Via Pública,Via Pública,MARIO DEDINI,RUA DAS SERINGUEIRAS,55.0,-22.6701836359999,-47.6639832669999,04º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178466,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,PIRACICABA,CE3275,2025,2025-02-11,2025-02-11,10:45:00,,Terminal/Estação,Metroviário e Ferroviário Metropolitano,VILA SÔNIA,ACESSO R CORCOVADO,10.0,-22.6716973,-47.6946241,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178468,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,05º D.P. PIRACICABA,PIRACICABA,CH2791,2025,2025-02-13,2025-02-12,01:34:00,,Centro Comercial/Empresarial,Estacionamento,SANTA TEREZINHA,RUA JOÃO PEDRO CORRÊA,204.0,-22.6695003,-47.6778359,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Estabelecimento Comercial,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178469,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,PIRACICABA,CH4553,2025,2025-02-13,2025-02-11,,A tarde,Via Pública,Via Pública,SANTA TEREZINHA,RUA ADELMO CAVAGIONI,300.0,-22.6797337,-47.6770859,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178472,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,PIRACICABA,CL7682,2025,2025-02-17,2025-02-10,03:00:00,,Lazer e Recreação,Clube/Centro Esportivo,SANTA TEREZINHA,RUA JOÃO PEDRO CORRÊA,1777.0,-22.669834507,-47.684147658,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178479,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,CP1836,2025,2025-02-19,2025-02-18,14:14:28,,Terminal/Estação,Ônibus/Lotação/Trolebus,VILA SÔNIA,RUA AMORA,155.0,-22.6672789,-47.7127025,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178489,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,DD5049,2025,2025-02-27,2025-02-27,19:00:00,,Terminal/Estação,Ônibus/Lotação/Trolebus,SANTA TEREZINHA,RUA JOÃO PEDRO CORRÊA,810.0,-22.6696774,-47.6762585,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Interior Transporte Coletivo,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178490,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,05º D.P. PIRACICABA,PIRACICABA,BT6281,2025,2025-02-04,2025-02-03,,De madrugada,Via Pública,Via Pública,IAA,TRAVESSA IAA,132.0,-22.6683507,-47.6744951,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,2,2025,CPI-9,10ºBPM/I,5ªCIA
178491,DEINTER 9 - PIRACICABA,DEL.SEC.LIMEIRA,01º D.P. LIMEIRA,PIRACICABA,DA6598,2025,2025-02-26,2025-02-25,16:00:00,,Via Pública,Via Pública,SANTA TEREZINHA,RUA DONA ANTONIA,53.0,-22.6783046,-47.6796079,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,2,2025,CPI-9,10ºBPM/I,5ªCIA
178492,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,05º D.P. PIRACICABA,PIRACICABA,CO2142,2025,2025-02-18,2025-02-04,,A tarde,Via Pública,Via Pública,SANTA TEREZINHA,RUA DONA ANTONIA,1.0,-22.6783046,-47.6796079,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL CULPOSA - OUTRAS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178494,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CT9439,2025,2025-02-21,2025-02-21,06:40:07,,Via Pública,Via Pública,VILA SONIA,RUA CORCOVADO,1.0,-22.6707716,-47.6988358,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,2025,CPI-9,10ºBPM/I,5ªCIA
178495,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,05º D.P. PIRACICABA,PIRACICABA,DE5292,2025,2025-02-28,2025-02-07,16:20:54,,Via Pública,Via Pública,VALE DO SOL,RODOVIA SP 304,1.0,-22.6836865839999,-47.6870647439999,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,2025,CPI-9,10ºBPM/I,5ªCIA
178496,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA DA MULHER ONLINE-SEC,DELEGACIA DA MULHER ONLINE,PIRACICABA,BS9626,2025,2025-02-03,2025-02-02,19:00:00,,Via Pública,Via Pública,PARQUE RESIDENCIAL PIRACICABA,RUA IDA IRENE RAVELLI MALOSSO,40.0,-22.6774576,-47.7156127,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,2,2025,CPI-9,10ºBPM/I,5ªCIA
178497,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,05º D.P. PIRACICABA,PIRACICABA,BW2469,2025,2025-02-06,2025-02-05,08:00:00,,Via Pública,Via Pública,PARQUE ORLANDA I,RUA VILSON ANTÔNIO CHIODI,1.0,-22.6612007,-47.7090657,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,2,2025,CPI-9,10ºBPM/I,5ªCIA
178499,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA DA MULHER ONLINE-SEC,DELEGACIA DA MULHER ONLINE,PIRACICABA,CA0699,2025,2025-02-08,2025-02-07,21:00:00,,Via Pública,Via Pública,IAA,RUA BENEDITO SIDNEY NOVOLETTE,117.0,-22.6732462,-47.6724938,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,2,2025,CPI-9,10ºBPM/I,5ªCIA
178504,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CG6350,2025,2025-02-13,2025-02-12,21:18:00,,Via Pública,Via Pública,JARDIM CORCOVADO,RUA ADELMO CAVAGIONI,300.0,-22.6791557,-47.6774755,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,2,2025,CPI-9,10ºBPM/I,5ªCIA
178507,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,05º D.P. PIRACICABA,PIRACICABA,CN6922,2025,2025-02-18,2025-02-17,,A tarde,Via Pública,Via Pública,SANTA TEREZINHA,RUA JOÃO EUGÊNIO PIEDADE,11.0,-22.6743949,-47.6850353,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,2,2025,CPI-9,10ºBPM/I,5ªCIA
178508,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CO8545,2025,2025-02-18,2025-02-18,14:00:00,,Via Pública,Via Pública,VILA SÔNIA,RUA ALTINO ARANTES,203.0,-22.6689693,-47.6950858,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,2,2025,CPI-9,10ºBPM/I,5ªCIA
178510,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA DA MULHER ONLINE-SEC,DELEGACIA DA MULHER ONLINE,PIRACICABA,CT9718,2025,2025-02-22,2025-02-21,17:30:00,,Via Pública,Via Pública,VILA SÔNIA,RUA CORCOVADO,3368.0,-22.6636692,-47.7132612,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,2,2025,CPI-9,10ºBPM/I,5ªCIA
178511,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,BQ5852,2025,2025-02-02,2025-02-02,01:00:00,,Comércio e Serviços,Distribuidora,VILA SONIA,RUA BRIGADEIRO EDUARDO GOMES,155.0,-22.669119058,-47.6926227559999,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Roubo (art. 157),Estabelecimento Comercial,ROUBO - OUTROS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178512,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,05º D.P. PIRACICABA,PIRACICABA,BY8267,2025,2025-02-07,2025-02-06,21:20:00,,Via Pública,Via Pública,VILA SONIA,RUA TEJUPA,1.0,-22.669334023,-47.6881098819999,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Roubo (art. 157),Transeunte,ROUBO - OUTROS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178513,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CL3006,2025,2025-02-17,2025-02-16,23:34:00,,Via Pública,Via Pública,VALE DO SOL,ESTRADA ELIAS GABRIEL DA SILVA,250.0,-22.682459,-47.7208124,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Roubo (art. 157),Estabelecimento Comercial,ROUBO - OUTROS,2,2025,CPI-9,10ºBPM/I,5ªCIA
178514,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,BY0763,2025,2025-02-06,2025-02-06,17:00:48,,Via Pública,Via Pública,CENTRO,RODOVIA HERMINIO PELTRIM,308.0,-22.7149364,-47.6478273,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Roubo (art. 157),Veículo,ROUBO DE VEÍCULO,2,2025,CPI-9,10ºBPM/I,5ªCIA
178517,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,BP8438,2025,2025-02-01,2025-01-31,18:00:18,,Via Pública,Via Pública,VILA SONIA,RUA MURICI,177.0,-22.6719761919999,-47.702559932,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178518,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,BQ5852,2025,2025-02-02,2025-02-02,01:00:00,,Comércio e Serviços,Distribuidora,VILA SONIA,RUA BRIGADEIRO EDUARDO GOMES,155.0,-22.669119058,-47.6926227559999,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178521,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,05º D.P. PIRACICABA,PIRACICABA,CE0822,2025,2025-02-11,2025-02-11,13:20:21,,Via Pública,Via Pública,PARQUE ORLANDA I,RUA ZAGREB,260.0,-22.6619942,-47.6906327,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178522,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CK3868,2025,2025-02-15,2025-02-15,10:55:00,,Via Pública,Via Pública,VILA SÔNIA,RUA RAUL ATAIDE,262.0,-22.6724161,-47.7010532,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178525,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,DD4506,2025,2025-02-28,2025-02-27,18:00:10,,Via Pública,Via Pública,JARDIM RESIDENCIAL JAVARY I,RUA MURICI,291.0,-22.6709557,-47.7034366,05º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,2,2025,CPI-9,10ºBPM/I,5ªCIA
178528,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,PIRACICABA,BY7374,2025,2025-02-07,2025-01-13,11:18:00,,Via Pública,Via Pública,DOIS CORREGOS,RUA BATISTA FORMÁGIO,1.0,-22.742164927,-47.596289676,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,4ªCIA
178529,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.POL.RIO DAS PEDRAS,PIRACICABA,CA0990,2025,2025-02-08,2025-02-07,12:00:00,,Rodovia/Estrada,Interior de Veículo Particular,UNILESTE,RUA CAPITÃO JOSÉ PINTO SIQUEIRA,285.0,-22.7329885,-47.594083,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Interior de Veículo,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,4ªCIA
178533,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CE5979,2025,2025-02-11,2025-02-11,17:09:00,,Comércio e Serviços,Mercado,PIRACIMIRIM,AVENIDA RIO DAS PEDRAS,2850.0,-22.7463196099999,-47.6231858899999,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Estabelecimento Comercial,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,4ªCIA
178538,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,CH9506,2025,2025-02-13,2025-02-08,13:00:00,,Restaurante e Afins,Padaria/Café,SANTA RITA,AVENIDA IRMÃ MARIA FELICISSIMA,201.0,-22.7527399,-47.5968583,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Estabelecimento Comercial,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,4ªCIA
178549,DEINTER 9 - PIRACICABA,DEL.SEC.LIMEIRA,DEL.SEC.LIMEIRA PLANTÃO,PIRACICABA,CW4437,2025,2025-02-24,2025-02-23,23:00:22,,Lazer e Recreação,Salão de Festas/Buffet,MONTE ALEGRE,AVENIDA COMENDADOR PEDRO MORGANTI,4700.0,-22.703621326,-47.610189507,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,4ªCIA
178552,DEINTER 2 - CAMPINAS,DEL.SEC.BRAGANÇA PAULISTA,DEL.POL.PEDRA BELA,PIRACICABA,CZ2973,2025,2025-02-25,2025-02-25,09:30:00,,Saúde,Hospital,SANTA RITA,AVENIDA ANTÔNIO ELIAS,1000.0,-22.7612469,-47.5840123,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,4ªCIA
178557,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,1ª DIG-DEIC-DEINTER 9,PIRACICABA,DB5660,2025,2025-02-26,2025-02-26,13:20:10,,Via Pública,Via Pública,AREA RURAL,RODOVIA SP 304,154.0,-22.731108633,-47.5410563839999,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Residência,FURTO - OUTROS,2,2025,CPI-9,10ºBPM/I,4ªCIA
178564,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CB1861,2025,2025-02-09,2025-02-09,17:30:56,,Comércio e Serviços,Estacionamento Particular,ÁGUA SECA,SP-135,1.0,-22.7331206,-47.609157,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,2,2025,CPI-9,10ºBPM/I,4ªCIA
178565,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,CR6696,2025,2025-02-20,2025-02-20,14:00:42,,Via Pública,Via Pública,UNILESTE,AVENIDA COMENDADOR LEOPOLDO DEDINI,85.0,-22.726097516,-47.5857019919999,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,2,2025,CPI-9,10ºBPM/I,4ªCIA
178566,DEINTER 9 - PIRACICABA,DEL.SEC.AMERICANA,DEL.POL.NOVA ODESSA,PIRACICABA,CW1908,2025,2025-02-23,2025-02-23,,Em hora incerta,Via Pública,Via Pública,ÁGUA SECA,RODOVIA MARGARIDA DA GRAÇA MARTINS,1.0,-22.7325536,-47.610696,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,2,2025,CPI-9,10ºBPM/I,4ªCIA
178567,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,DB2953,2025,2025-02-26,2025-02-25,,Em hora incerta,Via Pública,Via Pública,PARQUE SANTA CECILIA,AVENIDA ANTONIA PAZINATO STURION,0.0,-22.7310424,-47.6213822,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,2,2025,CPI-9,10ºBPM/I,4ªCIA
178568,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,CK8729,2025,2025-02-16,2025-02-16,04:45:07,,Via Pública,Via Pública,Unileste,Rodovia Luiz de Queiroz,1.0,-22.7230426,-47.5927949,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Homicídio culposo na direção de veículo automotor (Art. 302),,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,2,2025,CPI-9,10ºBPM/I,4ªCIA
178569,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,BV6895,2025,2025-02-05,2025-01-31,,Em hora incerta,Via Pública,Via Pública,UNILESTE,AVENIDA COMENDADOR LEOPOLDO DEDIDINI,500.0,-22.7303718,-47.5958237,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,2025,CPI-9,10ºBPM/I,4ªCIA
178570,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,BZ0424,2025,2025-02-07,2025-02-06,,Em hora incerta,Via Pública,Via Pública,UNILESTE,PROFESSOR BENEDITO DE ANDRADE,25.0,-22.7303718,-47.5958237,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,2025,CPI-9,10ºBPM/I,4ªCIA
178571,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.POL.S.PEDRO,PIRACICABA,BZ0717,2025,2025-02-07,2025-02-03,06:20:00,,Via Pública,Via Pública,SANTA RITA,AVENIDA ANTÔNIO ELIAS,1.0,-22.7612469,-47.5840123,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,2025,CPI-9,10ºBPM/I,4ªCIA
178572,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,BZ1091,2025,2025-02-07,2025-02-03,07:30:34,,Via Pública,Via Pública,PIRACICAMIRIM,AVENIDA DOIS CÓRREGOS,0.0,-22.7396018,-47.6233558,06º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,2025,CPI-9,10ºBPM/I,4ªCIA
